sentence,Predicted,Expected,Result
xscpjc could be equal to blank,Value equals to null,VALUE equals to null,Fail
wdkrrt could not be null,Value equals to null,VALUE not_equals to null,Fail
wvzwdz can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
bxboto can be left empty,Value equals to null,VALUE equals to null,Fail
oqazaa can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
qqharf must not be populated,not_duplicate,VALUE equals to null,Fail
ezrgnx would be empty,Value equals to null,VALUE equals to null,Fail
lrcdvz is always NULL,Value equals to null,VALUE equals to null,Fail
wjsnej canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
ngwbrk has some values.,ngwbrk has some values.,VALUE not_equals to null,Fail
kitidm has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
tqmmju must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
"jwsljf should not be greater than 59398 ,but less than 9381","Value is_within(9381,5993)","Value is_within(9381,59398)",Fail
dihjkk can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
anfjao cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
"lnwmji exceeds 4698,but does not exceeds 89920","Value is_within(4698,89920)","Value is_within(4698,89920)",Pass
ybpbmv can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
wcuiyy can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
vnoyzv consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
wwlehm must have a null loan number,Value equals to null,VALUE equals to null,Fail
ylogir isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
vymkkg could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
egcppc could be null.,Value equals to null,VALUE equals to null,Fail
"wbnbnk represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
"cdcntb could be greater than 9729 ,but less than 58461","Value is_within(9729,5841)","Value is_within(9729,58461)",Fail
isrugh is expected to be null,Value equals to null,VALUE equals to null,Fail
tasdva is more than 3310 and also tasdva should not exceed 80887,"Value is_within(3110,8087)","Value is_within(3310,80887)",Fail
wbyffn is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
mzamet would be blank,Value equals to null,VALUE equals to null,Fail
kumhus is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
mtbrjq could be less than 6286 and more than 85116,"Value is_within(6286,85116)","Value is_within(6286,85116)",Pass
yrudkd could be empty,Value equals to null,VALUE equals to null,Fail
qivpgv can be left empty,Value equals to null,VALUE equals to null,Fail
exbble must not be populated,Value not_equals to null,VALUE equals to null,Fail
rjotpb is more than 8816 and also rjotpb should not exceed 58609,"Value is_within(8816,5860)","Value is_within(8816,58609)",Fail
kgmtjj must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
uqkihm should not be null,Value equals to null,VALUE not_equals to null,Fail
akipxa describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
udxpky depth must be null,Value equals to null,VALUE equals to null,Fail
"mekynp is comprised between 8648, excluded, and 74535","Value is_within(8648,7455)","Value is_within(8648,74535)",Fail
"cdcntb must be greater than 9729,but less than  58461","Value is_within(9729,5846)","Value is_within(9729,58461)",Fail
pqlsqp cannot be null,Value not_equals to null,VALUE equals to null,Fail
ybpbmv is not a null,Value not_equals to null,VALUE not_equals to null,Fail
zwvifo could be null.,Value equals to null,VALUE equals to null,Fail
dtcfxh can be equal to empty,Value equals to null,VALUE equals to null,Fail
ajqrkp is of value date,Value equals to null,VALUE is equal to DATE,Fail
wdkrrt would not be null,Value equals to null,VALUE not_equals to null,Fail
cwsymi cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
qtnrvl would be blank,Value equals to null,VALUE equals to null,Fail
dyzxmf field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
"zjpqlv is greater than 5302,but less than 41197","Value is_within(5302,41197)","Value is_within(5302,41197)",Pass
yxzivg canbe blank,Value equals to null,VALUE equals to null,Fail
dkxjjd is empty.,Value equals to null,VALUE equals to null,Fail
dgghgw isn't empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
kdkrxb must be in between 3816 to 41575,Value is_within(3816 to 41575),"Value is_within(3816,41575)",Fail
jfqzrs is more than 4360 and also jfqzrs should not exceed 27163,"Value is_within(4660,2716)","Value is_within(4360,27163)",Fail
kpqzaf could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
fcfzju would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
wahmwc can be a empty,Value equals to null,VALUE equals to null,Fail
ipbzny can be equal to blank,Value equals to null,VALUE equals to null,Fail
poujmk cannot be null.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
kebomx can be left blank,Value equals to null,VALUE equals to null,Fail
nnzdwx must not be null,Value equals to null,VALUE not_equals to null,Fail
Lets say anfjao cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
cgptsy must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
"qynqlz should not be greater than 41970 ,but less than 6712","Value is_within(4970,6712)","Value is_within(6712,41970)",Fail
tqmmju should be empty,Value equals to null,VALUE equals to null,Fail
tcerft could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
czaqas could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
puudcc should be blank,Value equals to null,VALUE equals to null,Fail
vuxjcg can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
nnmyyn represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uvlhhd number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
tmmuon equals a number under 621 and over 59742,"Value is_within(611,5972)","Value is_within(621,59742)",Fail
feifbz can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
gwsgxi can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
wmcdxr should not contain something,Value not_equals to null,VALUE equals to null,Fail
"dnrkyr must be greater than 6393,but less than  43798","Value is_within(6393,4798)","Value is_within(6393,43798)",Fail
kbbfod can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
glbibd can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
rnatbk must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
gzrpmw is blank,Value equals to null,VALUE equals to null,Fail
epmgpk can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
oekkse is strictly greater than 8268 and strictly lower than 45444,"Value is_within(8268,4544)","Value is_within(8268,45444)",Fail
ipbzny can be equal to empty,Value equals to null,VALUE equals to null,Fail
"ddekoo could be greater than 1193 ,but less than 68354","Value is_within(1193,63844)","Value is_within(1193,68354)",Fail
qckgcw depth must be null,Value equals to null,VALUE equals to null,Fail
dahbph would be blank,Value equals to null,VALUE equals to null,Fail
nkykvc number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
gwdnaj should be blank,Value equals to null,VALUE equals to null,Fail
cgptsy could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
"bevddl could be greater than 5971 ,but less than 56492","Value is_within(5971,5692)","Value is_within(5971,56492)",Fail
vjnsvc can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
"hpjywf must be greater than 460,but less than  2089","Value is_within(460,2089)","Value is_within(460,2089)",Pass
uhgleb can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
rpszsy can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
pxptyp can be equal to blank,Value equals to null,VALUE equals to null,Fail
cotqbf should not be null,Value equals to null,VALUE not_equals to null,Fail
gwsgxi is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
"kldbbw lies between eight thousand, four hundred and thirty-eight and ninety-three thousand, eight hundred and four","Value is_within(8 thousand,4 hundred and thirty-eight)","Value is_within(8438,93804)",Fail
crzlxc could be less than 8089 and more than 62696,"Value is_within(8089,6696)","Value is_within(8089,62696)",Fail
hdkwux is not empty,Value not_equals to null,VALUE not_equals to null,Fail
qmggfy cannot be empty.,Value not_equals to null,VALUE not_equals to null,Fail
vprpqs can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
qbbcsq can be left empty,Value equals to null,VALUE equals to null,Fail
lagbzg cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
Lets say itnowo cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
ejktuz can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
jonjcp should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
xvzxqv can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
xnwgmn is empty,Value equals to null,VALUE equals to null,Fail
vymkkg isn't empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
ucjgim could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
rhhvxu has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
ntvtxo would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
puudcc could be null,Value equals to null,VALUE equals to null,Fail
qtratm must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
Lets say bftlgn have null values,Value equals to null,VALUE equals to null,Fail
szpymw may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
exbble cannot be null,Value not_equals to null,VALUE equals to null,Fail
tqjlfh is always NULL,Value equals to null,VALUE equals to null,Fail
ajcqds could be less than 2526 and more than 17993,"Value is_within(2526,17993)","Value is_within(2526,17993)",Pass
bcmseo cannot have any characters.,VALUE is not_equal to DATE,VALUE not_equals to null,Fail
jrictu must not be populated,Value not_equals to null,VALUE equals to null,Fail
rpszsy isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
wcuiyy has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
"vqcjtv must be greater than 3284 ,but less than 44149","Value is_within(3284,44149)","Value is_within(3284,44149)",Pass
gdiryh can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
ziluzb must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
zaccez cannot have any characters.,VALUE is not_equal to DATE,VALUE not_equals to null,Fail
isrugh is always NULL,Value equals to null,VALUE equals to null,Fail
tubrig must be blank,Value equals to null,VALUE equals to null,Fail
ixmehr could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ssnros would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ixofmu is expected to be null,Value equals to null,VALUE equals to null,Fail
ddondq must be blank,Value equals to null,VALUE equals to null,Fail
qjbzla canbe empty,Value equals to null,VALUE equals to null,Fail
ipbzny could be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
nnzdwx can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
fdxxmg mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
"gkkytq exceeds 4486,but does not exceeds 49510","Value is_within(4486,49510)","Value is_within(4486,49510)",Pass
gtznut equals a number under 7176 and over 15369,"Value is_within(7176,15369)","Value is_within(7176,15369)",Pass
uxsvru is strictly greater than 781 and strictly lower than 52192,"Value is_within(781,52192)","Value is_within(781,52192)",Pass
nthdow canbe empty,Value equals to null,VALUE equals to null,Fail
onnmlb is more than 5778 and also onnmlb should not exceed 6748,"Value is_within(5778,6748)","Value is_within(5778,6748)",Pass
"wmejbu exceeds 7065,but does not exceeds 19793","Value is_within(7065,793)","Value is_within(7065,19793)",Fail
ylogir number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
Lets say wuvzgq have null values,Value equals to null,VALUE equals to null,Fail
imyzao might be in between 6928 to 91826,Value is_within(6928 to 91826),"Value is_within(6928,91826)",Fail
nyyjpo could not be null,Value equals to null,VALUE not_equals to null,Fail
diiblo could be null,Value equals to null,VALUE equals to null,Fail
nqsbcj should not be null,Value not_equals null,VALUE not_equals to null,Fail
ddondq can be equal to blank,Value equals to null,VALUE equals to null,Fail
hmysnf isn't empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
ziluzb could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
itnowo number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
ljrhjb should be null,Value equals to null,VALUE equals to null,Fail
nqvdxd would be null,Value equals to null,VALUE equals to null,Fail
nqsbcj is not blank,Value not_equals to null,VALUE not_equals to null,Fail
ngaqiy might be in between 6515 to 70118,Value is_within(6515 to 70118),"Value is_within(6515,70118)",Fail
dahbph can be a null,Value equals to null,VALUE equals to null,Fail
oavuse represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
aibnvi can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
xnwgmn could be equal to blank,Value equals to null,VALUE equals to null,Fail
tcvpjy is required to be empty,Value equals to null,VALUE equals to null,Fail
giyfoi could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
"mgbsoi must be greater than 4931 ,but less than 98737","Value is_within(4931,98737)","Value is_within(4931,98737)",Pass
slggzf is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
rpcewk might be in between 4778 to 77361,Value is_within(4778-77361),"Value is_within(4778,77361)",Fail
vvtcts must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
mzfxgo shall be found somewhere between 6725 and 30717,"Value is_within(30717,6725)","Value is_within(6725,30717)",Fail
djvmwd can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ixofmu canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
zfogxt is not null.,Value not_equals to null,VALUE not_equals to null,Fail
sunwvm must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
nbesnw is not null.,Value not_equals to null,VALUE not_equals to null,Fail
nqsbcj mustn't be null,Value equals to null,VALUE not_equals to null,Fail
zjgdsr represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ilbywy should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
jxpwjz should contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
uduaau could be null,Value equals to null,VALUE equals to null,Fail
"qdsnjl exceeds 1237,but does not exceeds 43127","Value is_within(1237,43127)","Value is_within(1237,43127)",Pass
ipswjz can be a empty,Value equals to null,VALUE equals to null,Fail
cygnom can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
jwhzvs consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
yeizqw canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
gysibh equals a number under 1145 and over 87178,"Value is_within(1145,87178)","Value is_within(1145,87178)",Pass
cmlakn must be in between 942 to 90235,"Value is_within(942,90235)","Value is_within(942,90235)",Pass
zwxkxj must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
zfogxt mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
"frisrl IS LONGER THAN five thousand, seven hundred and eighty-six AND ALSO frisrl IS SMALL THAN twenty-six thousand, four hundred and sixty-nine","Value is_within(5 000,7700)","Value is_within(5786,26469)",Fail
rztmmc is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uisrfm can be in range 2268 to 70805,Value is_within(2268 to 70805),"Value is_within(2268,70805)",Fail
dvvgsz is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
ltkfdy should be null,Value equals to null,VALUE equals to null,Fail
onnmlb equals a number under 5778 and over 6748,"Value is_within(5778,6748)","Value is_within(5778,6748)",Pass
wmsbtw canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
uumbro can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
"mekynp exceeds 8648,but does not exceeds 74535","Value is_within(8648,7455)","Value is_within(8648,74535)",Fail
wwlehm depth must be null,Value equals to null,VALUE equals to null,Fail
qlilum can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
edhreb is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ddondq canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
wssdgw isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
kpzwxi is expected to be null,Value equals to null,VALUE equals to null,Fail
cuwpmm can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
Lets say rmbzss have null values,Value equals to null,VALUE equals to null,Fail
jhkcuj could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
hosktf is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
oqvxaz can be equal to empty,Value equals to null,VALUE equals to null,Fail
odqycp shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
oxhiis is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
vwoaaf is not a null,Value not_equals to null,VALUE not_equals to null,Fail
"kwrtws must be greater than 3143 ,but less than 47973","Value is_within(3343,497973)","Value is_within(3143,47973)",Fail
"yubwpe is comprised between 5129, excluded, and 75197","Value is_within(5129,75197)","Value is_within(5129,75197)",Pass
gzrpmw is expected to be null,Value equals to null,VALUE equals to null,Fail
qivpgv could be empty,Value equals to null,VALUE equals to null,Fail
bofcuo is required to be not null,Value equals to null,VALUE not_equals to null,Fail
cllyfz should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
axpchy describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
iuuuya must be populated,Value equals to null,VALUE not_equals to null,Fail
wbxnhz can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
frrtlg can be a null,Value equals to null,VALUE equals to null,Fail
okfgxx is null,Value equals to null,VALUE equals to null,Fail
lcnjhc is a null,Value equals to null,VALUE equals to null,Fail
tcqoeu could be blank,Value equals to null,VALUE equals to null,Fail
dbwhlf should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
nfdxty has not some values.,___________,VALUE equals to null,Fail
"mldsta should not be greater than 39159 ,but less than 651","Value is_within(651,39159)","Value is_within(651,39159)",Pass
"gvcibf must be greater than 1013 ,but less than 79510","Value is_within(1013,79510)","Value is_within(1013,79510)",Pass
btpemn can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
miwlvk represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
aidwnn is with in 4460 to 74094,Value is_within(4660 to 74094),"Value is_within(4460,74094)",Fail
qjtclh field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
kpzwxi could be equal to blank,Value equals to null,VALUE equals to null,Fail
ziluzb should not be null,Value equals to null,VALUE not_equals to null,Fail
xfhlin is expected to be empty,Value equals to null,VALUE equals to null,Fail
hirqxn field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
vyqbxm can be equal to empty,Value equals to null,VALUE equals to null,Fail
nkykvc field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
"jtyqvz could be greater than 9951 ,but less than 33262","Value is_within(9951,3262)","Value is_within(9951,33262)",Fail
shvgti cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
lagbzg is not empty,Value not_equals to null,VALUE not_equals to null,Fail
ztcjjo is not null.,Value not_equals to null,VALUE not_equals to null,Fail
uoendi must be in between 8112 to 4219,Value is_within(8112 to 4219),"Value is_within(4219,8112)",Fail
ucjgim would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
szohnf should be empty,Value equals to null,VALUE equals to null,Fail
aptlse can be equal to null,Value equals to null,VALUE equals to null,Fail
dzqckm can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
tjfwzy can be equal to blank,Value equals to null,VALUE equals to null,Fail
wcrewy must have a null loan number,Value equals to null,VALUE equals to null,Fail
jonjcp cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
oapnqm cannot be null,Value equals to null,VALUE not_equals to null,Fail
amdhdt must be populated,Value equals to null,VALUE not_equals to null,Fail
dfzudk canbe empty,Value equals to null,VALUE equals to null,Fail
tyxrel is more than 9434 and also tyxrel should not exceed 82553,"Value is_within(9434,8255)","Value is_within(9434,82553)",Fail
cotqbf should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
mgyhbm mustn't be null,Value equals to null,VALUE not_equals to null,Fail
nfdxty must be blank,Value equals to null,VALUE equals to null,Fail
omaama isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
qckgcw cannot be null,Value not_equals to null,VALUE equals to null,Fail
sehazh shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
poujmk is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
ajcqds equals a number under 2526 and over 17993,"Value is_within(2526,17993)","Value is_within(2526,17993)",Pass
wbvoat is not blank,Value not_equals to null,VALUE not_equals to null,Fail
wahmwc could be null,Value equals to null,VALUE equals to null,Fail
nszato has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
uoendi is more than 8112 and also uoendi should not exceed 4219,"Value is_within(8112,4219)","Value is_within(4219,8112)",Fail
dxlywc should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
dkxjjd should be empty,Value equals to null,VALUE equals to null,Fail
flmrex equals a number under 8807 and over 21039,"Value is_within(8807,21039)","Value is_within(8807,21039)",Pass
isweno would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
lithya could be less than 589 and more than 60636,"Value is_within(589,60636)","Value is_within(589,60636)",Pass
uvlhhd depth must be null,Value equals to null,VALUE equals to null,Fail
xklmqm can be a null,Value equals to null,VALUE equals to null,Fail
pqqqhe could be empty,not_duplicate,VALUE equals to null,Fail
lwckbe mustn't be null,Value equals to null,VALUE not_equals to null,Fail
shvgti can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
svxdmu may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
qzgztg may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
dujqvz would be empty,Value equals to null,VALUE equals to null,Fail
"mgfsur IS LONGER THAN five thousand, one hundred and forty-six AND ALSO mgfsur IS SMALL THAN ninety-six thousand, three hundred and fifty-eight","Value is_within(five thousand, one hundred forty-six)","Value is_within(5146,96358)",Fail
zqcwfk field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
ymvrex is not null.,Value not_equals to null,VALUE not_equals to null,Fail
lwckbe can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
udxpky can be left empty,Value equals to null,VALUE equals to null,Fail
gegheh describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
xqdgoy must not be populated,Value not_equals to null,VALUE equals to null,Fail
"gvurhr IS LONGER THAN five thousand, five hundred and forty-two AND ALSO gvurhr IS SMALL THAN ten thousand, five hundred and forty-six","gvurhr IS LONGER THAN five thousand, five hundred and forty-two ET gvurhr IS SMALLER THAN ten thousand, five hundred and forty-six","Value is_within(5542,10546)",Fail
kodygj number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
jsbyca describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
atmlwb can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
mtkktz must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
djvmwd describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
cttfla should be empty,Value equals to null,VALUE equals to null,Fail
gffaoa should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
bbmfvm should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
tcqoeu can be equal to null,Value equals to null,VALUE equals to null,Fail
ahwzer can be equal to empty,Value equals to null,VALUE equals to null,Fail
oapnqm field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
cegjec must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
dmmfkg must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
mbyzrk cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
zwvifo has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
tihxkf should contain something,Value not_equals to null,VALUE not_equals to null,Fail
vdlvdp would not be null,Value equals to null,VALUE not_equals to null,Fail
"epsaes IS LONGER THAN three thousand and ninety-four AND ALSO epsaes IS SMALL THAN thirty-five thousand, nine hundred and twenty-eight",Value is_within(three thousand and ninety-four),"Value is_within(3094,35928)",Fail
whvlyw is null,Value equals to null,VALUE equals to null,Fail
ecsend must be empty,Value equals to null,VALUE equals to null,Fail
jwaeqj mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
birmqk can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
oqvxaz can be a null,Value equals to null,VALUE equals to null,Fail
"jfqzrs IS LONGER THAN four thousand, three hundred and sixty AND ALSO jfqzrs IS SMALL THAN twenty-seven thousand, one hundred and sixty-three","Value is_within(four thousand, three hundred and sixty)","Value is_within(4360,27163)",Fail
bpsvdv represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
shvgti must not be null,Value equals to null,VALUE not_equals to null,Fail
gxjgkw depth must not be null,Value equals to null,VALUE not_equals to null,Fail
ifdznu can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"gaazyz IS LONGER THAN eight thousand, seven hundred and thirty-three AND ALSO gaazyz IS SMALL THAN ninety-three thousand, two hundred and fifty-six","Value is_within(eight thousand, seven hundred and thirty-three)","Value is_within(8733,93256)",Fail
tyxrel is with in 9434 to 82553,"Value is_within(9434,8255)","Value is_within(9434,82553)",Fail
uqxnhe depth must be null,Value equals to null,VALUE equals to null,Fail
cfkqno could not be null,Value equals to null,VALUE not_equals to null,Fail
pxptyp is required to be empty,Value equals to null,VALUE equals to null,Fail
mlarpy has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
ylogir mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
zgmrem could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
vucrkv can only hold date data type,Value equals to null,VALUE is equal to DATE,Fail
nyyjpo cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
jugxvz consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
syfzto has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
cvrpww can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
xyscxz could be less than 4709 and more than 50188,"Value is_within(4709,50188)","Value is_within(4709,50188)",Pass
"ubqpbc IS LONGER THAN six thousand, one hundred AND ALSO ubqpbc IS SMALL THAN sixty-four thousand, six hundred and four","ubqpbc IS LONGER THAN six thousand, one hundred","Value is_within(6100,64604)",Fail
"gtpnsz is greater than 1764,but less than 23255","Value is_within(1764,23255)","Value is_within(1764,23255)",Pass
tcqoeu is a null,Value equals to null,VALUE equals to null,Fail
yymuqb is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
vlyrce can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
foyeug is expected to be null,Value equals to null,VALUE equals to null,Fail
kztndo should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
zgmrem should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
hkccvb cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
pqqqhe can be left blank,not_equals to null,VALUE equals to null,Fail
"ruumda IS LONGER THAN two thousand, seven hundred and sixty AND ALSO ruumda IS SMALL THAN twenty-nine thousand, two hundred and twenty-five","Value is_within(two thousand, seven hundred and sixty)","Value is_within(2760,29225)",Fail
zeqrvl should be empty,Value equals to null,VALUE equals to null,Fail
sqwvxz would be null,Value equals to null,VALUE equals to null,Fail
wjzkoa is required to be empty,Value equals to null,VALUE equals to null,Fail
vrfjqi consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
izvjlo should not be null,Value equals to null,VALUE not_equals to null,Fail
rhhvxu cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
nuevvz is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
pqqqhe can not have any characters.,not_equals to null,VALUE equals to null,Fail
ztjxcw can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
